model,method,context,tier,jobs,successful_jobs,failed_jobs,question_trajectories,repetitions,f1_mean,f1_std,calls_mean,calls_std,cost_usd_mean,cost_usd_std,total_tokens_mean,total_tokens_std,latency_seconds_mean,latency_seconds_std,tool_time_seconds_mean,tool_time_seconds_std,process_wall_time_seconds_mean,process_wall_time_seconds_std,peak_combined_memory_mib_mean,peak_combined_memory_mib_std
gemini-3.7-flash,llm,500,2,20,20,0,100,5,0.6352514771038612,0.041020011016203,1.0,0.0,0.0738905835,0.01092280962894905,70001.25,767.9285038335245,27.78942094948143,2.212477169794912,0.0,0.0,28.69436640571803,2.2140897335894314,386.4548828125,0.48247856764555325
gemini-3.7-flash,codeact,100,2,20,20,0,100,5,0.7765003964492456,0.06613169505188751,8.129999999999999,0.26944387170614975,0.02079417075,0.0009054182989682873,17260.32,1658.1908890715802,49.17500231591985,3.0536216446644837,0.009423173386603593,0.002002078584352755,50.0983992984891,3.047121265800803,804.554296875,1.3110739963113107
gemini-3.7-flash,codeact,500,2,20,20,0,100,5,0.7548197632835807,0.04746685731646392,6.82,0.39319206502674986,0.045115149,0.0049856105545783205,91402.74,6714.866779720952,47.00468731867149,3.737122364416059,0.0718032737262547,0.014905719776451679,47.9311547842063,3.747492434312556,808.719921875,0.7489266407875006
gemini-3.7-flash,codeact,1000,2,20,20,0,100,5,0.7500748798366942,0.04471813316977145,6.029999999999999,0.5861740355901136,0.0941421105,0.01585255582318937,194717.84,10855.278960367626,42.911085741279535,6.052557288898713,0.1442475734715117,0.0225192642379764,43.821266290330676,6.048517231844769,767.7724609375,1.0548428343366452
gemini-3.7-flash,rlm,100,2,20,20,0,100,5,1.0,0.0,2.17,0.11661903789690595,0.008055975,0.0004241878971929775,8607.9,532.2374526468425,8.928683045841753,0.9661099882651332,0.3275454464834183,0.5361999569403637,18.39119611212518,4.127342465715711,334.3529296875,1.684418822445647
gemini-3.7-flash,rlm,500,2,20,20,0,100,5,1.0,0.0,2.2600000000000002,0.08602325267042622,0.008574870000000002,0.0003523744830255164,9272.84,431.16285716652385,8.944145133821294,1.1082803445391605,0.21118968794587997,0.00562995539804241,14.422849062504246,1.2725422636519408,339.5935546875,1.8910319648514258
gemini-3.7-flash,rlm,1000,2,20,19,1,100,1,0.96,0.0,2.4375,0.0,0.009365109374999998,0.0,10229.4375,0.0,10.111301155518353,0.0,0.28566879431794706,0.0,12.401387677295133,0.0,394.1811266447368,0.0
gemini-3.7-flash,rlm,full,2,20,20,0,100,5,1.0,0.0,2.88,0.150332963783729,0.0128686155,0.0013832234490903854,15580.029999999999,2690.7081145304483,57.4765714273788,1.138711231989833,45.33677915756125,0.8795191881676171,66.70614787807688,3.3159842955348124,962.84765625,731.2075052149027
gemini-3.7-flash,llm,100,3,80,80,0,175,5,0.8550193306303839,0.003944915418358257,1.0,0.0,0.014273989285714286,0.0021127623677649776,13906.64,120.54398685686076,11.452362583066735,0.5100034202659334,0.0,0.0,13.532653939308863,0.5495383446987689,365.072216796875,0.23820946784753244
gemini-3.7-flash,llm,500,3,80,80,0,175,5,0.8152894358195356,0.009816004860901355,1.0,0.0,0.03655229442857143,0.01307082538757332,60743.577142857146,336.0612035608641,25.641359384411146,1.8718191956125372,0.0,0.0,27.70601124908243,1.863549310069207,366.482568359375,0.19605471765883162
gemini-3.7-flash,codeact,100,3,80,80,0,175,5,0.8260168240456356,0.04812903513525986,7.9314285714285715,0.3059144871845526,0.026007718285714288,0.005116929631684346,32066.594285714287,3838.089103937434,61.50098143425371,2.680779072152036,0.014005488540445055,0.0028770068798966548,63.63474014023585,2.6523533652851126,682.6650390625,0.30040128413661166
gemini-3.7-flash,codeact,500,3,80,80,0,175,5,0.8078149440329325,0.01570468528082885,8.120000000000001,0.28651316883935257,0.07193687099999999,0.013935134132198025,150796.72,20522.72729340119,76.30311943698142,4.943625662638392,0.08548082677381379,0.011414514173389102,78.4424268818966,4.944976679474917,687.77998046875,0.9331451794025863
gemini-3.7-flash,codeact,1000,3,80,80,0,175,5,0.6639132550488414,0.03489310181119445,8.388571428571428,0.2944936851822885,0.113317551,0.016281764395129548,309692.73714285716,53810.180932684976,89.38571547645012,1.2026891649722424,0.13313366374233737,0.02109589217838315,91.41689179637237,1.237949001398292,644.898779296875,0.7410950597517845
gemini-3.7-flash,rlm,100,3,80,80,0,175,5,0.8849814807363344,0.004560272548937315,10.257142857142858,4.468410665723443,0.03450585685714285,0.0037008168284079494,44172.28,4712.632619547644,29.745616668546404,6.802041855870956,6.137435610439861,4.202739279362725,40.66345857551887,6.559321403828927,313.7884765625,1.7488006541923633
gemini-3.7-flash,rlm,500,3,80,80,0,175,5,0.8681339482798996,0.014893209722519597,8.559999999999999,1.3087585642859558,0.04527502371428572,0.0031681353633518754,72077.50857142857,7640.42473105964,34.2133118462644,3.1311431287902223,4.140400472068327,2.966625555692735,43.38688154171787,2.8605590741074933,318.601123046875,2.514307444264899
gemini-3.7-flash,rlm,1000,3,80,73,7,175,1,0.7492093493097276,0.0,12.298013245033113,0.0,0.05703549933774838,0.0,87352.06622516556,0.0,37.51138833047862,0.0,3.992962285404204,0.0,43.93717044653754,0.0,365.066352739726,0.0
gemini-3.7-flash,rlm,full,3,80,80,0,175,5,0.7992568423023705,0.010768170834684232,19.794285714285714,10.837958991527916,0.09777275357142859,0.014208871712705845,202663.4457142857,19641.579251877574,126.16010694187617,12.038713335646316,54.08788498645615,9.317052777246507,135.18532037086703,13.342797049923746,2279.72724609375,604.1657643555022
