model,method,context,tier,jobs,successful_jobs,failed_jobs,question_trajectories,scoreable_trajectories,repetitions,score_coverage,f1_mean,f1_std,calls_mean,calls_std,cost_usd_mean,cost_usd_std,total_tokens_mean,total_tokens_std,latency_seconds_mean,latency_seconds_std,tool_time_seconds_mean,tool_time_seconds_std,process_wall_time_seconds_mean,process_wall_time_seconds_std,peak_combined_memory_mib_mean,peak_combined_memory_mib_std
deepseek-v4-flash,rlm,100,3,80,80,0,175,95,5,0.5428571428571428,0.6709619932396702,0.08226649680485962,17.897142857142857,1.6864986068836245,0.005323950800651429,0.0018118347016621644,469566.2,52919.92927782151,443.35729532577096,68.64319054983257,53.35572018091434,21.938540512392922,449.48589800037706,69.37383634670174,373.000244140625,1.4771302357890996
deepseek-v4-flash,rlm,500,3,80,80,0,175,95,5,0.5428571428571428,0.6270497978475817,0.024133345671982158,22.228571428571428,3.714857098907859,0.006234462579942857,0.0015814568242407973,530124.1371428572,37101.240034440794,480.41408149327543,44.944678996785655,60.76812173584742,35.98300427439586,486.9882596178992,45.59836218860432,379.250927734375,9.125036537933356
deepseek-v4-flash,rlm,1000,3,80,80,0,175,95,5,0.5428571428571428,0.4455752015227362,0.08393569645400577,23.96,2.3017012341806162,0.03325834237237714,0.003534627963938756,413436.53142857144,49019.63265504405,1184.2381870887427,75.30814207631121,33.29902337623494,6.228556758868647,1189.336012556058,74.92620730401991,385.425537109375,8.953086617272673
deepseek-v4-flash,rlm,full,3,80,80,0,175,95,5,0.5428571428571428,0.47297305443426074,0.07549309776029806,53.720000000000006,30.938054765176517,0.01367253319629714,0.004127390703919484,859501.3542857142,99459.74994712035,795.0698452026822,70.68169196271778,175.05812785626256,71.91121769311039,800.3154667840287,71.62747104063041,586.82421875,24.698994824385196
deepseek-v4-flash,llm,100,4,45,45,0,175,155,5,0.8857142857142857,0.1627038929366831,0.03462092975503902,1.0,0.0,0.0,0.0,11329.685714285715,179.4972198067909,23.01928540651287,1.7129517615191685,0.0,0.0,25.033182214477232,1.7199721700665822,338.76293402777776,0.27215146206906515
deepseek-v4-flash,llm,500,4,45,45,0,175,155,5,0.8857142857142857,0.033611153984668414,0.01906774179471731,1.0,0.0,0.0,0.0,49983.77142857143,249.2845521053553,23.601156365062508,1.952650307663349,0.0,0.0,25.609391767999956,1.9723572624019798,339.16006944444445,0.10786211172883496
deepseek-v4-flash,codeact,100,4,45,36,9,175,155,5,0.8857142857142857,0.29434050610548584,0.05669162570959538,4.867,0.24790320691753875,0.00074895080656,0.0009387064876694954,228386.4915,56440.174758195855,232.67001735314352,65.03684973545042,0.48802489111013714,0.17187077561262903,234.3133591395002,65.02134399541873,750.1298502604167,6.276450649834967
deepseek-v4-flash,codeact,500,4,45,33,12,175,155,5,0.8857142857142857,0.28438143614833483,0.06593278371014072,5.501111111111111,0.7511012491134289,0.0022561185955555555,0.004512237191111111,418865.4944444444,42083.771850391786,220.64498259608945,50.607851336325595,1.492938913375967,0.4483978831407594,222.27213583394888,50.67120118448555,751.4021949404762,4.211846553590569
deepseek-v4-flash,codeact,1000,4,45,21,24,175,175,1,1.0,0.19784126984126987,0.0,7.586956521739131,0.0,0.01822039795906522,0.0,761756.5434782609,0.0,367.33018999390873,0.0,1.4903838022146374,0.0,369.8471497600979,0.0,721.660900297619,0.0
deepseek-v4-flash,rlm,100,4,45,45,0,175,155,5,0.8857142857142857,0.526036866359447,0.06039347840343585,21.154285714285713,1.3018793323186162,0.019200654445594288,0.002278092639491215,1336182.4457142858,216330.99486096055,653.4935043740645,63.97987141282653,30.544728256176626,25.449232852982178,656.9049426774575,64.0426828968333,422.5493055555556,16.27924660714028
deepseek-v4-flash,rlm,500,4,45,45,0,175,155,5,0.8857142857142857,0.41110645626774656,0.05339503867294053,23.622857142857143,1.3689739938794918,0.016359037113114285,0.0016243510784311372,1009232.9428571429,209031.77745694737,728.014612312748,80.09182523661643,19.059393239936657,10.801849850906136,732.1281905299771,79.61813042793511,427.6912326388889,5.468392615361655
deepseek-v4-flash,rlm,1000,4,45,45,0,175,155,5,0.8857142857142857,0.5074429083461341,0.056250116802748086,20.634285714285717,1.1456252191956764,0.007336040858091429,0.0009334209304092221,873417.28,63509.54823536934,529.3282084681586,37.24727503686147,19.452039791271755,1.7673841732202078,532.0601954779628,37.21182424143165,473.43046875,31.577229916757048
deepseek-v4-flash,rlm,full,4,45,45,0,175,155,5,0.8857142857142857,0.1847660296714164,0.0316865723499091,23.94857142857143,1.4932118512297787,0.028999004510897146,0.004679933157441139,832728.4285714285,280186.18413695693,1215.0350809160914,68.25408182582876,210.15453987268197,43.477333710710454,1217.7847720490395,68.01985317426758,2621.6192708333333,702.6874479095122
