model,method,context,tier,jobs,successful_jobs,failed_jobs,question_trajectories,repetitions,f1_mean,f1_std,calls_mean,calls_std,cost_usd_mean,cost_usd_std,total_tokens_mean,total_tokens_std,latency_seconds_mean,latency_seconds_std,tool_time_seconds_mean,tool_time_seconds_std,process_wall_time_seconds_mean,process_wall_time_seconds_std,peak_combined_memory_mib_mean,peak_combined_memory_mib_std
qwen3.5,rlm,full,2,20,20,0,100,5,1.0,0.0,6.779999999999999,0.15684387141358117,0.0,0.0,67568.05,8603.620521501398,64.02940200056881,3.091674631949987,19.672216847557575,1.509523524142573,65.04739979799838,3.0784604224942504,743.8974609375,8.449410922492396
qwen3.5,llm,100,3,80,80,0,175,5,0.4447174529918076,0.01100579422266111,1.0,0.0,0.0,0.0,10852.445714285715,2.569942427688756,3.977575916977865,0.5988617759679618,0.0,0.0,5.961710750279682,0.600892282596929,364.87265625,0.11980352370695338
qwen3.5,llm,500,3,80,80,0,175,5,0.26627397897678057,0.0060636789002654215,1.0,0.0,0.0,0.0,53127.577142857146,48.7376664461096,13.24937102744622,6.302800295920129,0.0,0.0,15.22404720492661,6.289228723757455,365.7306640625,0.30813090320681463
qwen3.5,codeact,100,3,80,80,0,175,5,0.8587092243720444,0.01677659535342095,6.228571428571429,0.15856499343441857,0.0,0.0,104616.80571428571,1357.6599601204566,64.5298523937485,2.2846978068835324,0.07362531139382295,0.008320345896696649,66.67889045932463,2.30875059380234,690.052734375,0.35341481831672983
qwen3.5,codeact,500,3,80,80,0,175,5,0.8169688781360339,0.0346145189245133,6.417142857142858,0.1179415282317159,0.0,0.0,383074.48571428575,7706.698146375447,86.50448715318527,7.0791992955175935,0.2845308599514621,0.02114317831363761,88.61984232052097,7.090352482797325,692.6013671875,0.14837206552716178
qwen3.5,codeact,1000,3,80,80,0,175,5,0.764286468909745,0.018987231290126437,6.24,0.22101805263787108,0.0,0.0,702308.76,24361.92009884279,117.63255999664743,3.712206497338055,0.5653350175571229,0.07324016932590881,119.632386949531,3.7085342576092533,649.590771484375,0.44111208675916147
qwen3.5,rlm,100,3,80,80,0,175,5,0.8336522394273121,0.02481223590267154,12.245714285714286,0.3412342543276257,0.0,0.0,307442.90285714285,10064.317839512358,211.63604843655685,28.759202816642325,0.106938544738306,0.042709738392113256,213.8466709096618,28.774445409051253,427.709423828125,1.7931740929526945
qwen3.5,rlm,500,3,80,80,0,175,5,0.7888226573690317,0.025152173146799163,14.8,1.5240118913243286,0.0,0.0,332765.76,28222.867992700903,231.61536498151054,25.717615994697365,3.8414761969422195,7.146056933662456,233.7938681077739,25.71902890458672,427.734521484375,1.5465006180671668
qwen3.5,rlm,full,3,80,80,0,175,5,0.6074504680615023,0.03954970808636207,16.325714285714287,0.6219390350068936,0.0,0.0,408736.94857142854,41038.35459103345,290.2334939264612,37.836468178265875,49.636105022153686,26.22000296037173,292.44712719986484,37.83097440934261,606.610009765625,3.142087235788302
qwen3.5,llm,100,4,45,45,0,175,5,0.06793650793650793,0.013997084244475301,1.0,0.0,0.0,0.0,10854.994285714285,0.11197667395595519,4.393769419725452,0.33118471576074027,0.0,0.0,6.429877321730767,0.3677189514172794,394.88958333333335,0.16067297983086284
qwen3.5,llm,500,4,45,45,0,175,5,0.012698412698412698,0.0,1.0,0.0,0.0,0.0,52563.34285714287,0.0,10.419684777632355,4.299261641195579,0.0,0.0,12.481650625201208,4.26942492841843,395.86814236111115,0.2727100387134239
qwen3.5,codeact,100,4,45,45,0,175,5,0.7352047849442808,0.04662062246031093,6.914285714285714,0.2130440215120827,0.0,0.0,115095.68000000001,6603.552201221178,65.15755305700004,3.9258136168540783,0.06752119295299053,0.017231899638138894,67.230369180856,3.93813433538945,806.1910590277778,0.7220721436114866
qwen3.5,codeact,500,4,45,45,0,175,5,0.618140589569161,0.03446298720904215,7.571428571428571,0.27523644751525234,0.0,0.0,451120.0457142857,16309.907173415208,95.66780672520399,8.118761742342857,0.35714616635016033,0.04199837159525885,97.7317967782276,8.11057391358423,812.8332465277778,1.2665390574997923
qwen3.5,codeact,1000,4,45,45,0,175,5,0.5974911754911755,0.05265623844493622,7.182857142857142,0.2533691345988039,0.0,0.0,802389.9257142857,27379.498093964794,114.11847029382929,10.428251464802338,0.7257330725601475,0.07326167157514527,116.28092205079504,10.414033813507094,772.4910590277777,3.3122161250253863
