method,context,tier,n_models,included_models,successful_jobs,failed_jobs,mean_calls_per_trajectory,sem_calls_per_trajectory,minimum_calls_per_trajectory_coverage,n_calls_per_trajectory_models,mean_tokens_per_trajectory,sem_tokens_per_trajectory,minimum_tokens_per_trajectory_coverage,n_tokens_per_trajectory_models,mean_latency_seconds_per_trajectory,sem_latency_seconds_per_trajectory,minimum_latency_seconds_per_trajectory_coverage,n_latency_seconds_per_trajectory_models,mean_tool_time_seconds_per_trajectory,sem_tool_time_seconds_per_trajectory,minimum_tool_time_seconds_per_trajectory_coverage,n_tool_time_seconds_per_trajectory_models,mean_wall_time_seconds_per_trajectory,sem_wall_time_seconds_per_trajectory,minimum_wall_time_seconds_per_trajectory_coverage,n_wall_time_seconds_per_trajectory_models,mean_peak_memory_mib_per_job,sem_peak_memory_mib_per_job,minimum_peak_memory_mib_per_job_coverage,n_peak_memory_mib_per_job_models
codeact,500,2,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,100,0,3.55,0.886853990237401,1.0,5,148828.93600000002,23486.256818681984,1.0,5,38.09540938967466,7.464489553626612,1.0,5,0.12711903119087217,0.015908545158594058,1.0,5,39.1948525457643,7.353000936005343,1.0,5,753.6490625,27.62362831786645,1.0,5
rlm,100,2,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,100,0,4.17,0.9775530676132115,1.0,5,39985.118,14481.473084041692,1.0,5,34.3688804360833,13.090080493939116,1.0,5,0.2871086668856442,0.15801010462878376,1.0,5,37.113821275155985,12.308406220578032,1.0,5,387.49722656250003,20.54527316075477,1.0,5
rlm,500,2,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,100,0,4.086,0.9336841007535684,1.0,5,32717.412,11328.708851142039,1.0,5,34.394087782007645,12.831798496642564,1.0,5,0.6309830894591287,0.35131178036954885,1.0,5,36.331081233404575,12.36809926885458,1.0,5,388.90828124999996,19.90311057298581,1.0,5
rlm,full,2,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,100,0,4.76,0.9558190205263756,1.0,5,63194.368,19753.56173928246,1.0,5,70.53032636959105,12.106472648892408,1.0,5,28.478783110987393,4.6583756560332725,1.0,5,73.28447961800173,11.763078972693155,1.0,5,966.3073828125,219.50787809601863,1.0,5
llm,100,3,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,446,0,1.0,0.0,1.0,6,13016.823312260016,1184.249605247951,1.0,6,14.815112066908371,5.400354925742183,1.0,6,0.0,0.0,1.0,6,17.0832867360756,5.520921147960911,1.0,6,330.6652212766617,11.295157048505564,1.0,6
llm,500,3,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,440,0,1.0,0.0,1.0,6,56267.10868428283,2499.7405732370717,1.0,6,21.437924938484514,3.587423867059687,1.0,6,0.0,0.0,1.0,6,23.64327371702834,3.5803848681110244,1.0,6,331.56445101122836,11.692229624816942,1.0,6
codeact,100,3,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,398,2,4.786740103270224,1.1849709674433007,1.0,5,75283.05520826162,27051.89304497882,1.0,5,82.33302295802764,38.52999364313546,1.0,5,0.08683259009401892,0.04109921280110145,1.0,5,84.83483510820406,38.71510165967257,1.0,5,631.7995935997596,25.191115905686395,1.0,5
codeact,500,3,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,392,8,5.008844720496894,1.135367197313887,1.0,5,256462.47214906832,62493.49279614267,1.0,5,105.57980921171156,47.890600099877275,1.0,5,0.3429866299853346,0.12625913097265995,1.0,5,108.94425347760614,48.94247652212415,1.0,5,633.6563932291667,25.240517100537115,1.0,5
rlm,100,3,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,383,0,9.467704667994365,2.759202450824706,1.0,5,178580.3433185991,88175.8011024754,1.0,5,152.6194852552068,80.04303645264896,1.0,5,12.687663755555075,10.21954258433979,1.0,5,157.56560221798745,80.0258546079547,1.0,5,358.5593657351763,19.681852356529557,1.0,5
rlm,500,3,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,379,0,11.347750737994096,3.264619278825628,1.0,5,211131.43988832092,96487.44914513873,1.0,5,165.8449127324974,83.68088391288983,1.0,5,14.497719770076127,11.833162451188576,1.0,5,170.2658794977287,83.73078411406806,1.0,5,361.25132245920196,19.349866952027234,1.0,5
rlm,full,3,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,358,0,20.516518321064115,9.205381583291002,1.0,5,378385.7096704542,135347.8605493316,1.0,5,283.18173687188084,134.63343914384197,1.0,5,72.64775421262186,26.37831522029012,1.0,5,287.42473954709897,134.689432132281,1.0,5,830.4996809762479,272.76342556733204,1.0,5
llm,100,4,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,270,0,1.0,0.0,1.0,6,12729.875238095237,725.1108450203164,1.0,6,13.557326567160587,3.057867058177834,1.0,6,0.0,0.0,1.0,6,15.770730390307449,3.050861691260834,1.0,6,358.5835648148148,13.948433021707672,1.0,6
llm,500,4,6,qwen3.5;deepseek-v4-flash;glm-5.2;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,270,0,1.0,0.0,1.0,6,55520.960952380956,2372.5736891297684,1.0,6,16.77935323841515,4.79955484366778,1.0,6,0.0,0.0,1.0,6,19.000808734271143,4.739320826479273,1.0,6,358.8837384259259,14.167072965673004,1.0,6
codeact,100,4,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,216,9,4.9427277628032344,1.1578029536267882,1.0,5,94887.28173584906,37142.561995392876,1.0,5,83.80963768417348,36.78918668072385,1.0,5,0.2722242030168399,0.11030826679527841,1.0,5,86.0693020829676,36.60857767946276,1.0,5,744.8454817708333,26.496018512578516,1.0,5
codeact,500,4,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,213,12,5.2033302611367125,0.9733102743055205,1.0,5,282410.92620583717,65222.68856314126,1.0,5,90.83130231970327,33.19170812411061,1.0,5,2.4686289346339425,1.0069610581319923,1.0,5,93.05364000267124,33.01272115362499,1.0,5,750.9106281565657,27.039321923219077,1.0,5
rlm,100,4,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,225,0,10.592,3.3393263893626624,1.0,5,404113.2902857143,243816.40734175872,1.0,5,213.22302508630645,115.39479347817087,1.0,5,8.408391760596711,5.556804002617311,1.0,5,216.37330701140075,115.3799476734094,1.0,5,408.96678819444446,12.5700841453827,1.0,5
rlm,500,4,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,225,0,11.785142857142857,3.712665404822156,1.0,5,353504.23771428573,181133.5669873416,1.0,5,238.10409720403058,128.01102034882118,1.0,5,8.215452389406057,3.280969999479048,1.0,5,241.25363364146006,128.19337268025174,1.0,5,412.91364583333336,10.765610454159189,1.0,5
rlm,full,4,5,qwen3.5;deepseek-v4-flash;gemini-3.7-flash;gpt-5-mini;claude-haiku-4.5,221,4,13.675176593521423,3.325298587911907,1.0,5,411303.32519958203,124845.35382212266,1.0,5,704.3454083585275,165.69480268394295,1.0,5,318.7255265184655,68.58572100750294,1.0,5,707.68580114827,165.42291913319914,1.0,5,3587.1790690949674,274.07617885163774,1.0,5
