model,method,context,tier,successful_jobs,successful_trajectories,failed_jobs,calls_per_trajectory,calls_per_trajectory_coverage,tokens_per_trajectory,tokens_per_trajectory_coverage,latency_seconds_per_trajectory,latency_seconds_per_trajectory_coverage,tool_time_seconds_per_trajectory,tool_time_seconds_per_trajectory_coverage,wall_time_seconds_per_trajectory,wall_time_seconds_per_trajectory_coverage,peak_memory_mib_per_job,peak_memory_mib_per_job_coverage
gemini-3.7-flash,codeact,100,4,45,175,0,8.108571428571429,1.0,23767.114285714284,1.0,51.75389122898025,1.0,0.029818438632147653,1.0,53.80980322536613,1.0,798.55,1.0
gemini-3.7-flash,codeact,500,4,45,175,0,7.017142857142857,1.0,137945.6857142857,1.0,56.03008862055838,1.0,1.0640849500681673,1.0,58.06486753857561,1.0,809.5228298611111,1.0
gemini-3.7-flash,rlm,100,4,45,175,0,5.325714285714286,1.0,45350.817142857144,1.0,33.56349945695422,1.0,1.4967802025582309,1.0,37.7143946618161,1.0,372.9355902777778,1.0
gemini-3.7-flash,rlm,500,4,45,175,0,6.085714285714285,1.0,60934.565714285716,1.0,38.768921988951874,1.0,2.838742883427102,1.0,42.338691379611184,1.0,385.62578125,1.0
gemini-3.7-flash,rlm,full,4,42,145,3,12.53103448275862,1.0,388222.43448275863,1.0,409.73794854258927,1.0,234.63848375536898,1.0,415.05689060014134,1.0,3610.2205171130954,1.0
gpt-5-mini,llm,100,1,5,50,0,1.0,1.0,10989.62,1.0,4.268291998542845,1.0,0.0,1.0,5.649637116156518,1.0,317.03828125,1.0
gpt-5-mini,llm,500,1,5,50,0,1.0,1.0,52168.36,1.0,5.455951821655035,1.0,0.0,1.0,6.220783418640495,1.0,314.2671875,1.0
gpt-5-mini,codeact,100,1,5,50,0,1.98,1.0,22041.04,1.0,16.395419145338238,1.0,0.0012069791927933693,1.0,16.936737816892563,1.0,681.60390625,1.0
gpt-5-mini,codeact,500,1,5,50,0,2.06,1.0,106607.68,1.0,13.100487666651606,1.0,0.0015848787501454354,1.0,13.492795418053866,1.0,685.14453125,1.0
gpt-5-mini,rlm,100,1,5,50,0,2.72,1.0,11666.8,1.0,33.04717005655169,1.0,0.0005680311471223832,1.0,34.50662327673286,1.0,373.2875,1.0
gpt-5-mini,rlm,500,1,5,50,0,2.66,1.0,10687.46,1.0,31.77190032105893,1.0,0.0011224747076630593,1.0,32.47597415551543,1.0,364.04140625,1.0
gpt-5-mini,rlm,full,1,5,50,0,2.52,1.0,10135.78,1.0,37.94453352164477,1.0,0.13957955099642277,1.0,38.50002001207322,1.0,501.07578125,1.0
gpt-5-mini,llm,100,2,20,100,0,1.0,1.0,12555.96,1.0,12.32661098273471,1.0,0.0,1.0,13.395974223259836,1.0,318.729296875,1.0
gpt-5-mini,llm,500,2,20,100,0,1.0,1.0,52158.57,1.0,6.426183738503605,1.0,0.0,1.0,7.501687734313309,1.0,321.120703125,1.0
gpt-5-mini,codeact,100,2,20,100,0,2.03,1.0,23663.05,1.0,17.05220547059551,1.0,0.041533390339463946,1.0,18.129238482564688,1.0,685.2451171875,1.0
gpt-5-mini,codeact,500,2,20,100,0,2.02,1.0,106462.1,1.0,16.092510876562446,1.0,0.12584971303120254,1.0,17.459511706326158,1.0,686.646875,1.0
gpt-5-mini,rlm,100,2,20,100,0,2.67,1.0,13085.5,1.0,16.189333998188378,1.0,0.11609035450965166,1.0,17.287488440684974,1.0,371.3837890625,1.0
gpt-5-mini,rlm,500,2,20,100,0,2.77,1.0,11810.18,1.0,16.001247666757553,1.0,0.11395011030137539,1.0,17.178445125501604,1.0,371.301171875,1.0
gpt-5-mini,rlm,full,2,20,100,0,2.81,1.0,20977.29,1.0,46.07924229359254,1.0,26.446522761825474,1.0,47.208270519394425,1.0,668.0349609375,1.0
gpt-5-mini,llm,100,3,80,175,0,1.0,1.0,16453.897142857142,1.0,39.60603397336389,1.0,0.0,1.0,42.1873740484459,1.0,310.363330078125,1.0
gpt-5-mini,llm,500,3,80,175,0,1.0,1.0,55607.35428571429,1.0,30.206970755457878,1.0,0.0,1.0,32.88836646651583,1.0,308.753759765625,1.0
gpt-5-mini,codeact,100,3,80,175,0,2.2285714285714286,1.0,28947.977142857144,1.0,23.50543851269143,1.0,0.03978793075042111,1.0,25.86464078068733,1.0,572.036572265625,1.0
gpt-5-mini,codeact,500,3,80,175,0,2.1885714285714286,1.0,117291.97142857143,1.0,26.513599387556315,1.0,0.17330885838185037,1.0,28.84094433129898,1.0,573.209375,1.0
gpt-5-mini,rlm,100,3,80,175,0,3.8514285714285714,1.0,26849.897142857142,1.0,35.20120155412172,1.0,1.4430781240867716,1.0,37.626863650530574,1.0,337.860986328125,1.0
gpt-5-mini,rlm,500,3,80,175,0,4.0,1.0,27781.96,1.0,37.24668937919395,1.0,0.4410361404291221,1.0,39.741370155768735,1.0,337.4525390625,1.0
gpt-5-mini,rlm,full,3,80,175,0,5.48,1.0,251180.85714285713,1.0,95.15401208307063,1.0,54.92767423102898,1.0,97.6332178377573,1.0,502.622314453125,1.0
gpt-5-mini,llm,100,4,45,175,0,1.0,1.0,14171.44,1.0,17.079720451512507,1.0,0.0,1.0,19.614815246665053,1.0,338.58038194444447,1.0
gpt-5-mini,llm,500,4,45,175,0,1.0,1.0,52691.60571428572,1.0,10.146075679372464,1.0,0.0,1.0,12.646392236224242,1.0,337.228125,1.0
gpt-5-mini,codeact,100,4,45,175,0,2.611428571428571,1.0,36476.31428571429,1.0,30.320722007400224,1.0,0.1989136501188789,1.0,33.27908984187458,1.0,679.6549479166666,1.0
gpt-5-mini,codeact,500,4,45,175,0,2.737142857142857,1.0,149166.46285714285,1.0,38.912623974148715,1.0,3.564635401751314,1.0,41.78778258239584,1.0,693.0622395833333,1.0
gpt-5-mini,rlm,100,4,45,175,0,5.0685714285714285,1.0,57132.22285714286,1.0,53.466819758830326,1.0,2.098922101269875,1.0,55.70047376800861,1.0,424.6787326388889,1.0
gpt-5-mini,rlm,500,4,45,175,0,4.771428571428571,1.0,46038.102857142854,1.0,53.7313192160534,1.0,0.9653292573030506,1.0,55.9466173326437,1.0,419.4706597222222,1.0
gpt-5-mini,rlm,full,4,45,175,0,5.64,1.0,115853.77714285714,1.0,330.7178631606911,1.0,184.54035306617618,1.0,333.0887150742007,1.0,3708.248611111111,1.0
claude-haiku-4.5,llm,100,1,5,50,0,1.0,1.0,12960.34,1.0,0.6583616821095347,1.0,0.0,1.0,2.1807461700215938,1.0,308.2625,1.0
claude-haiku-4.5,llm,500,1,5,50,0,1.0,1.0,64345.72,1.0,1.1818146092072128,1.0,0.0,1.0,1.9761767862737178,1.0,308.43203125,1.0
claude-haiku-4.5,codeact,100,1,5,50,0,1.6,1.0,22606.52,1.0,7.232605446986854,1.0,0.0008983767032623291,1.0,8.227198069989681,1.0,679.80703125,1.0
claude-haiku-4.5,codeact,500,1,5,50,0,2.2,1.0,144096.52,1.0,7.731167224161327,1.0,0.0017231354117393494,1.0,8.339193197637796,1.0,679.99921875,1.0
claude-haiku-4.5,rlm,100,1,5,50,0,2.24,1.0,30791.14,1.0,14.116703449850903,1.0,0.0013964372593909503,1.0,15.366549449777231,1.0,365.95859375,1.0
claude-haiku-4.5,rlm,500,1,5,50,0,3.28,1.0,42689.9,1.0,19.8243238240201,1.0,0.0023006043024361134,1.0,20.441153387967496,1.0,365.928125,1.0
claude-haiku-4.5,rlm,full,1,5,50,0,2.8,1.0,31910.04,1.0,19.030935282483696,1.0,0.19631702102720738,1.0,19.43413586458191,1.0,577.1453125,1.0
claude-haiku-4.5,llm,100,2,20,100,0,1.0,1.0,19202.9,1.0,22.63611731056124,1.0,0.0,1.0,24.375630912650376,1.0,306.622265625,1.0
claude-haiku-4.5,llm,500,2,20,100,0,1.0,1.0,67586.75,1.0,15.017162936720997,1.0,0.0,1.0,16.807768313344567,1.0,309.5865234375,1.0
claude-haiku-4.5,codeact,100,2,20,100,0,1.15,1.0,21277.73,1.0,12.644950475990772,1.0,0.00430268507450819,1.0,13.941822230294347,1.0,682.9232421875,1.0
claude-haiku-4.5,codeact,500,2,20,100,0,1.93,1.0,145659.95,1.0,25.810060311295093,1.0,0.12568093102425337,1.0,27.214112289119512,1.0,691.959765625,1.0
claude-haiku-4.5,rlm,100,2,20,100,0,3.08,1.0,39517.94,1.0,25.975886576483028,1.0,0.8855392297264189,1.0,27.30536889981944,1.0,371.2912109375,1.0
