model,model_label,method,context,tier,successful_jobs,failed_jobs,unresolved_jobs,arm_final,cost_chf_per_trajectory,cost_chf_per_trajectory_coverage,tokens_per_trajectory,tokens_per_trajectory_coverage,wall_time_seconds_per_trajectory,wall_time_seconds_per_trajectory_coverage
gemini-3.7-flash,Gemini 3.7 Flash,llm,500,1,5,0,0,True,0.0156771816,1.0,55671.16,1.0,2.184861172363162,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,100,1,5,0,0,True,0.0097319844,1.0,16817.1,1.0,27.56982455510646,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,500,1,5,0,0,True,0.025286026799999996,1.0,89610.16,1.0,25.129000028297305,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,1000,1,5,0,0,True,0.0640947984,1.0,195008.58,1.0,28.48710051508038,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,100,1,5,0,0,True,0.008432892,1.0,11999.86,1.0,16.179346478795633,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,500,1,5,0,0,True,0.008440260000000002,1.0,11897.98,1.0,15.056447562826797,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,1000,1,4,1,0,True,0.010617375000000002,1.0,15282.525,1.0,13.10675125415437,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,full,1,5,0,0,True,0.00861252,1.0,12401.24,1.0,24.275109937088565,1.0
gemini-3.7-flash,Gemini 3.7 Flash,llm,100,2,20,0,0,True,0.029263117800000002,1.0,19794.88,1.0,17.95495485495776,1.0
gemini-3.7-flash,Gemini 3.7 Flash,llm,500,2,20,0,0,True,0.0591124668,1.0,70001.25,1.0,28.69436640571803,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,100,2,20,0,0,True,0.016635336599999998,1.0,17260.32,1.0,50.09839929848909,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,500,2,20,0,0,True,0.0360921192,1.0,91402.74,1.0,47.9311547842063,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,1000,2,20,0,0,True,0.07531368840000001,1.0,194717.84,1.0,43.821266290330676,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,100,2,20,0,0,True,0.006444780000000001,1.0,8607.9,1.0,18.39119611212518,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,500,2,20,0,0,True,0.006859896000000001,1.0,9272.84,1.0,14.422849062504246,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,1000,2,19,1,0,True,0.007492087500000001,1.0,10229.4375,1.0,12.401387677295133,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,full,2,20,0,0,True,0.0102948924,1.0,15580.03,1.0,66.70614787807688,1.0
gemini-3.7-flash,Gemini 3.7 Flash,llm,100,3,80,0,0,True,0.011419191428571429,1.0,13906.64,1.0,13.532653939308865,1.0
gemini-3.7-flash,Gemini 3.7 Flash,llm,500,3,80,0,0,True,0.029241835542857128,1.0,60743.577142857146,1.0,27.70601124908243,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,100,3,80,0,0,True,0.020806174628571424,1.0,32066.594285714287,1.0,63.63474014023585,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,500,3,80,0,0,True,0.05754949679999999,1.0,150796.72,1.0,78.4424268818966,1.0
gemini-3.7-flash,Gemini 3.7 Flash,codeact,1000,3,80,0,0,True,0.09065404079999993,1.0,309692.73714285716,1.0,91.41689179637237,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,100,3,80,0,0,True,0.027604685485714292,1.0,44172.28,1.0,40.66345857551887,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,500,3,80,0,0,True,0.036220018971428576,1.0,72077.50857142857,1.0,43.38688154171786,1.0
gemini-3.7-flash,Gemini 3.7 Flash,rlm,1000,3,73,7,0,True,0.045628399470198686,1.0,87352.06622516556,1.0,43.93717044653754,1.0
