scope,run_id,model,model_label,method,tier,task,context,repetition,question_count,status,report_state,result_updated_at,attempt_count,sources,failure_categories,score_name,score_available,f1,calls,cost_chf,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,peak_combined_memory_mib,peak_docker_memory_mib,peak_host_process_tree_rss_mib,process_wall_time_seconds,ground_truth_version,original_f1,score_correction_status,arm_final
full_benchmark,full-glm-5.2-tier1-task1-rlm-x500-r05,glm-5.2,GLM 5.2,rlm,1,tier1/task1,500,5,10,succeeded,final,2026-09-16T16:35:51.026583+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8,97,0.0,0.0,1164796,21753,1186549,1649.540071632713,115.69733247719705,471.35546875,0.0,471.35546875,1689.9482715278864,rxnhaystack-human-1.6.0,0.8,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-xfull-r01,glm-5.2,GLM 5.2,rlm,1,tier1/task1,full,1,10,succeeded,final,2026-09-16T16:56:44.297062+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8,81,0.0,0.0,799920,29913,829833,1212.8887109868228,14.706996031105518,538.28515625,0.0,538.28515625,1252.924002110958,rxnhaystack-human-1.6.0,0.8,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-xfull-r02,glm-5.2,GLM 5.2,rlm,1,tier1/task1,full,2,10,succeeded,final,2026-09-16T17:17:05.154697+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.9,82,0.0,0.0,804460,31233,835693,1178.013707185164,102.92130825296044,530.1484375,0.0,530.1484375,1220.3636322915554,rxnhaystack-human-1.6.0,0.9,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-xfull-r03,glm-5.2,GLM 5.2,rlm,1,tier1/task1,full,3,10,succeeded,final,2026-09-16T17:43:56.633812+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.9,67,0.0,0.0,604539,32265,636804,1573.7417463287711,2.781366454437375,517.98828125,0.0,517.98828125,1610.8206671997905,rxnhaystack-human-1.6.0,0.9,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-xfull-r04,glm-5.2,GLM 5.2,rlm,1,tier1/task1,full,4,10,succeeded,final,2026-09-16T18:07:49.882357+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8,100,0.0,0.0,1119530,24919,1144449,1393.9356630127877,19.287260871380568,492.79296875,0.0,492.79296875,1432.898240659386,rxnhaystack-human-1.6.0,0.8,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-rlm-xfull-r05,glm-5.2,GLM 5.2,rlm,1,tier1/task1,full,5,10,succeeded,final,2026-09-16T18:28:05.202054+00:00,1,jed-full-v34-d50654b8;jed-glm-rlm-v34;kuma-full-v34-d50654b8,{},macro_f1,True,0.8,94,0.0,0.0,794361,24297,818658,1173.8069541174918,1.3203205242753029,541.265625,0.0,541.265625,1214.9364943057299,rxnhaystack-human-1.6.0,0.8,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-codeact-x100-r01,glm-5.2,GLM 5.2,codeact,2,tier2/task2,100,1,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-codeact-x100-r02,glm-5.2,GLM 5.2,codeact,2,tier2/task2,100,2,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-codeact-x100-r03,glm-5.2,GLM 5.2,codeact,2,tier2/task2,100,3,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier2-task2-codeact-x100-r04,glm-5.2,GLM 5.2,codeact,2,tier2/task2,100,4,6,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
