scope,run_id,model,model_label,method,tier,task,context,repetition,question_count,status,report_state,result_updated_at,attempt_count,sources,failure_categories,score_name,score_available,f1,calls,cost_chf,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,peak_combined_memory_mib,peak_docker_memory_mib,peak_host_process_tree_rss_mib,process_wall_time_seconds,ground_truth_version,original_f1,score_correction_status,arm_final
codeact_x1000,full-qwen3.5-397b-tier2-task5-codeact-x1000-r05,qwen3.5,Qwen 3.5,codeact,2,tier2/task5,1000,5,4,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,13,0.0,0.0,1395675,8277,1403952,249.87333873199532,1.1083121419651434,775.4609375,0.0,775.4609375,254.27520220103906,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier3-task10-codeact-x1000-r01,qwen3.5,Qwen 3.5,codeact,3,tier3/task10,1000,1,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz;ground-truth:rxnhaystack-ground-truth-2026-09-25-v2;corrected-score-recovery:rxnhaystack-corrected-score-recovery-2026-09-25-v2,{},macro_f1,True,0.7614914645103324,37,0.0,0.0,4158864,35381,4194245,640.762404721987,5.604185690986924,768.87109375,0.0,768.87109375,645.5696911750128,rxnhaystack-human-1.6.0,0.7233962264150943,corrected_exact_rescore,True
codeact_x1000,full-qwen3.5-397b-tier3-task10-codeact-x1000-r02,qwen3.5,Qwen 3.5,codeact,3,tier3/task10,1000,2,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz;ground-truth:rxnhaystack-ground-truth-2026-09-25-v2;corrected-score-recovery:rxnhaystack-corrected-score-recovery-2026-09-25-v2,{},macro_f1,True,0.7767295597484277,32,0.0,0.0,3603776,29191,3632967,563.2822703479906,1.2676800311310217,772.0703125,0.0,772.0703125,567.9497347999713,rxnhaystack-human-1.6.0,0.7267295597484277,corrected_exact_rescore,True
codeact_x1000,full-qwen3.5-397b-tier3-task10-codeact-x1000-r03,qwen3.5,Qwen 3.5,codeact,3,tier3/task10,1000,3,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz;ground-truth:rxnhaystack-ground-truth-2026-09-25-v2;corrected-score-recovery:rxnhaystack-corrected-score-recovery-2026-09-25-v2,{},macro_f1,True,0.7174222004410683,28,0.0,0.0,3148064,27654,3175718,638.4322970749927,6.038030887080822,771.04296875,0.0,771.04296875,642.7063251739601,rxnhaystack-human-1.6.0,0.6793269623458301,corrected_exact_rescore,True
codeact_x1000,full-qwen3.5-397b-tier3-task10-codeact-x1000-r04,qwen3.5,Qwen 3.5,codeact,3,tier3/task10,1000,4,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz;ground-truth:rxnhaystack-ground-truth-2026-09-25-v2;corrected-score-recovery:rxnhaystack-corrected-score-recovery-2026-09-25-v2,{},macro_f1,True,0.7703803533992214,34,0.0,0.0,3805817,29407,3835224,610.5459868579637,1.1480192268500105,768.8359375,0.0,768.8359375,614.7961476519704,rxnhaystack-human-1.6.0,0.7322851153039832,corrected_exact_rescore,True
codeact_x1000,full-qwen3.5-397b-tier3-task10-codeact-x1000-r05,qwen3.5,Qwen 3.5,codeact,3,tier3/task10,1000,5,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz;ground-truth:rxnhaystack-ground-truth-2026-09-25-v2;corrected-score-recovery:rxnhaystack-corrected-score-recovery-2026-09-25-v2,{},macro_f1,True,0.7693506493506493,25,0.0,0.0,2779208,25137,2804345,505.6260762780439,1.5091317450860515,766.140625,0.0,766.140625,509.5842280340148,rxnhaystack-human-1.6.0,0.7312554112554113,corrected_exact_rescore,True
codeact_x1000,full-qwen3.5-397b-tier3-task10b-codeact-x1000-r01,qwen3.5,Qwen 3.5,codeact,3,tier3/task10b,1000,1,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,0.6277777777777778,33,0.0,0.0,3724068,32925,3756993,606.2819369499921,2.9116724111372605,775.16796875,0.0,775.16796875,610.7166200189968,rxnhaystack-human-1.6.0,0.6277777777777778,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier3-task10b-codeact-x1000-r02,qwen3.5,Qwen 3.5,codeact,3,tier3/task10b,1000,2,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,0.4942506142506143,38,0.0,0.0,4444146,45319,4489465,781.1069393789512,3.4404196478426456,764.1953125,0.0,764.1953125,785.2131729319808,rxnhaystack-human-1.6.0,0.4942506142506143,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier3-task10b-codeact-x1000-r03,qwen3.5,Qwen 3.5,codeact,3,tier3/task10b,1000,3,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,0.5933621933621933,36,0.0,0.0,4133418,40613,4174031,714.0562599520199,2.900662118801847,765.421875,0.0,765.421875,718.2984036470298,rxnhaystack-human-1.6.0,0.5933621933621933,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier3-task10b-codeact-x1000-r04,qwen3.5,Qwen 3.5,codeact,3,tier3/task10b,1000,4,5,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,0.5777777777777777,36,0.0,0.0,4022500,36111,4058611,694.2902215120266,2.783919043256901,767.3359375,0.0,767.3359375,698.747064724972,rxnhaystack-human-1.6.0,0.5777777777777777,not_affected,True
